trade_date,main_net_in
20190102,-708750.0
20190103,668020.0
20190104,-2074750.0
20190107,462060.0
20190108,-1321660.0
20190109,-913930.0
20190110,-5032720.0
20190111,-1966840.0
20190114,-275720.0
20190115,3096440.0
20190116,-244060.0
20190117,1297610.0
20190118,1601240.0
20190121,1365520.0
20190122,-3958470.0
20190123,186520.0
20190124,5829660.0
20190125,-7318430.0
20190128,-1868720.0
20190129,2189020.0
20190130,-11601400.0
20190131,-5554580.0
20190201,-2768580.0
20190211,-4775560.0
20190212,-3610490.0
20190213,2723040.0
20190214,1712310.0
20190215,-9669000.0
20190218,-9682900.0
20190219,-13550520.0
20190220,945980.0
20190221,-2891510.0
20190222,1399140.0
20190225,-5688370.0
20190226,-17462360.0
20190227,-3535570.0
20190228,2954840.0
20190301,4152580.0
20190304,-13553550.0
20190305,9435470.0
20190306,-4408920.0
20190307,-3557680.0
20190308,-9495420.0
20190311,15393520.0
20190312,-13992100.0
20190313,73000.0
20190314,495170.0
20190315,-3299130.0
20190318,-3556570.0
20190319,370170.0
20190320,-4585920.0
20190321,241320.0
20190322,-13501210.0
20190325,-12263260.0
20190326,-2690890.0
20190327,66790.0
20190328,3380400.0
20190329,2559410.0
20190401,8184740.0
20190402,-8693600.0
20190403,-8649280.0
20190404,-8107950.0
20190408,-6629430.0
20190409,-3151950.0
20190410,2073760.0
20190411,-12300210.0
20190412,-4191690.0
20190415,195860.0
20190416,312090.0
20190417,10210380.0
20190418,-496490.0
20190419,6079910.0
20190422,-11971250.0
20190423,-10542890.0
20190424,-7060170.0
20190425,-2609950.0
20190426,-6036790.0
20190429,-2726500.0
20190430,2631630.0
20190506,1366920.0
20190507,2855260.0
20190508,7218060.0
20190509,590910.0
20190510,3185530.0
20190513,-4012060.0
20190514,7440570.0
20190515,4670300.0
20190516,-11648010.0
20190517,-175740.0
20190520,-1414870.0
20190521,1033600.0
20190522,2713660.0
20190523,-1975180.0
20190524,1238630.0
20190527,14189790.0
20190528,2858870.0
20190529,-1153340.0
20190530,2690900.0
20190531,8292630.0
20190603,-5360160.0
20190604,-4831480.0
20190605,-3031560.0
20190606,-3160040.0
20190610,711410.0
20190611,5125820.0
20190612,-6005960.0
20190613,614560.0
20190614,2903030.0
20190617,-4287260.0
20190618,-3668840.0
20190619,-3657900.0
20190620,7148770.0
20190621,-1839520.0
20190624,2482040.0
20190625,-3873660.0
20190626,-10703180.0
20190627,-128190.0
20190628,-580270.0
20190701,6432990.0
20190702,4010420.0
20190703,9671710.0
20190704,852380.0
20190705,-5500030.0
20190708,-3537900.0
20190709,-2614660.0
20190710,-3548810.0
20190711,-1883020.0
20190712,3272970.0
20190715,791400.0
20190716,-472790.0
20190717,2170720.0
20190718,8474870.0
20190719,278810.0
20190722,-84780.0
20190723,4683880.0
20190724,3820450.0
20190725,-942340.0
20190726,-4128860.0
20190729,3583890.0
20190730,-2405480.0
20190731,-1757460.0
20190801,-4337760.0
20190802,-1698980.0
20190805,-4401260.0
20190806,-7177340.0
20190807,-667860.0
20190808,-2757010.0
20190809,2418840.0
20190812,-9496090.0
20190813,-4868580.0
20190814,-239690.0
20190815,4082490.0
20190816,-8444230.0
20190819,1851550.0
20190820,8476590.0
20190821,22367290.0
20190822,-8409220.0
20190823,663010.0
20190826,-1751530.0
20190827,3780040.0
20190828,-2721430.0
20190829,-4499670.0
20190830,-6132960.0
20190902,5886960.0
20190903,3405870.0
20190904,-9033410.0
20190905,-1935300.0
20190906,-4168780.0
20190909,-6177810.0
20190910,-3783080.0
20190911,-1942340.0
20190912,8953010.0
20190916,-1410620.0
20190917,-6167900.0
20190918,-540330.0
20190919,-3386560.0
20190920,28650.0
20190923,-182520.0
20190924,-838390.0
20190925,-11230940.0
20190926,-4690080.0
20190927,-6007550.0
20190930,-1723080.0
20191008,2218630.0
20191009,1070230.0
20191010,-1706910.0
20191011,-1711640.0
20191014,-644000.0
20191015,1604840.0
20191016,-1622290.0
20191017,-1398100.0
20191018,-2232630.0
20191021,-166030.0
20191022,1311090.0
20191023,3733100.0
20191024,-1594130.0
20191025,3100640.0
20191028,2218220.0
20191029,531550.0
20191030,-2738150.0
20191031,-4687150.0
