trade_date,main_net_in,buy_sm_amount,sell_sm_amount,buy_md_amount,sell_md_amount,buy_lg_amount,sell_lg_amount,buy_elg_amount,sell_elg_amount,buy_sm_vol,sell_sm_vol,buy_md_vol,sell_md_vol,buy_lg_vol,sell_lg_vol,buy_elg_vol,sell_elg_vol
20190102,1111160.0,6383350.0,5670810.0,4163180.0,6011280.0,2130710.0,1566650.0,681830.0,134730.0,22973000.0,20387000.0,14967000.0,21608000.0,7635000.0,5621000.0,2438000.0,485000.0
20190103,1722650.0,6908860.0,10037650.0,11755300.0,10601730.0,8529110.0,7655420.0,1765660.0,916700.0,23780000.0,34495000.0,40395000.0,36417000.0,29252000.0,26320000.0,6058000.0,3143000.0
20190104,871770.0,6191810.0,6140830.0,5821020.0,6698610.0,3653230.0,3051910.0,270450.0,0.0,21241000.0,21045000.0,19947000.0,22965000.0,12509000.0,10460000.0,923000.0,0.0
20190107,3384060.0,9017040.0,10610370.0,10350520.0,12499430.0,8078090.0,8380320.0,4428880.0,742590.0,29703000.0,34940000.0,34158000.0,41241000.0,26661000.0,27647000.0,14590000.0,2466000.0
20190108,-1904220.0,7182740.0,8900580.0,12489590.0,8546250.0,2807850.0,4841530.0,517030.0,387570.0,23460000.0,28980000.0,40680000.0,27862000.0,9158000.0,15818000.0,1680000.0,1279000.0
20190109,-1691590.0,9059230.0,5630120.0,4625080.0,6296400.0,2844370.0,4546890.0,250400.0,239470.0,29442000.0,18293000.0,15035000.0,20464000.0,9246000.0,14785000.0,813000.0,779000.0
20190110,-6207940.0,11952490.0,7181830.0,8701060.0,7128560.0,3370020.0,8805320.0,0.0,772640.0,39258000.0,23500000.0,28471000.0,23341000.0,11052000.0,28959000.0,0.0,2548000.0
20190111,1518310.0,4642970.0,5590620.0,4875170.0,5445820.0,4299450.0,2672260.0,464690.0,573570.0,15082000.0,18146000.0,15828000.0,17669000.0,13941000.0,8668000.0,1499000.0,1868000.0
20190114,-43980.0,3809140.0,3342560.0,2443030.0,2865640.0,1473020.0,1563050.0,153500.0,107450.0,12426000.0,10900000.0,7969000.0,9349000.0,4811000.0,5106000.0,500000.0,350000.0
20190115,-325250.0,6774790.0,5200920.0,3489390.0,4738000.0,2776070.0,3271410.0,949020.0,778930.0,21891000.0,16782000.0,11256000.0,15284000.0,8946000.0,10554000.0,3048000.0,2522000.0
20190116,900820.0,5333540.0,5432340.0,4561670.0,5363690.0,2890080.0,2418040.0,823440.0,394660.0,16996000.0,17316000.0,14542000.0,17096000.0,9214000.0,7701000.0,2623000.0,1262000.0
20190117,-301000.0,4059340.0,3844270.0,3504970.0,3419040.0,995840.0,1296840.0,0.0,0.0,13055000.0,12358000.0,11251000.0,10985000.0,3201000.0,4164000.0,0.0,0.0
20190118,-939870.0,3316950.0,3263480.0,3304040.0,2417640.0,959520.0,1827140.0,246920.0,319170.0,10708000.0,10523000.0,10651000.0,7794000.0,3091000.0,5904000.0,799000.0,1029000.0
20190121,-428430.0,6853140.0,5762030.0,3502310.0,4165000.0,1460630.0,1403380.0,0.0,485680.0,21991000.0,18475000.0,11236000.0,13358000.0,4696000.0,4517000.0,0.0,1573000.0
20190122,-2889260.0,8563120.0,3875370.0,4013550.0,5812030.0,2248450.0,3635190.0,653090.0,2155610.0,28117000.0,12698000.0,13175000.0,19085000.0,7416000.0,11976000.0,2157000.0,7105000.0
20190123,-523840.0,6376680.0,4239480.0,3060060.0,4673430.0,1996340.0,2354290.0,121540.0,287430.0,20981000.0,13937000.0,10056000.0,15361000.0,6552000.0,7742000.0,400000.0,950000.0
20190124,3067270.0,5153510.0,5848660.0,3258000.0,5630120.0,5480720.0,4211810.0,2619880.0,821520.0,16555000.0,18786000.0,10462000.0,18039000.0,17531000.0,13470000.0,8377000.0,2631000.0
20190125,-2072550.0,5047000.0,3397410.0,3471490.0,3048520.0,2514440.0,3384670.0,264930.0,1467250.0,16257000.0,10944000.0,11188000.0,9818000.0,8100000.0,10905000.0,853000.0,4730000.0
20190128,352870.0,5611870.0,5792200.0,3859570.0,4032110.0,1861990.0,1361770.0,122150.0,269500.0,18303000.0,18908000.0,12579000.0,13133000.0,6066000.0,4423000.0,400000.0,884000.0
20190129,-2546970.0,6355430.0,3910780.0,3606050.0,3503720.0,1723360.0,3905330.0,0.0,365000.0,21347000.0,13071000.0,12131000.0,11758000.0,5816000.0,13219000.0,0.0,1245000.0
